date,amount,category,description
01-06-2024,500,Income,Salary
02-06-2024,30,Expense,Coffee
03-06-2024,120,Expense,Groceries
04-06-2024,75,Expense,Gas
05-06-2024,200,Income,Freelance
06-06-2024,45,Expense,Dining
07-06-2024,600,Income,Salary
08-06-2024,50,Expense,Transport
09-06-2024,100,Expense,Utilities
10-06-2024,300,Income,Bonus
11-06-2024,35,Expense,Snacks
12-06-2024,50,Expense,Transport
13-06-2024,700,Income,Salary
14-06-2024,40,Expense,Cinema
15-06-2024,120,Expense,Groceries
16-06-2024,80,Expense,Gas
17-06-2024,150,Income,Freelance
18-06-2024,20,Expense,Parking
19-06-2024,90,Expense,Phone
20-06-2024,100,Income,Gifts
21-06-2024,60,Expense,Books
22-06-2024,55,Expense,Transport
23-06-2024,400,Income,Investment
24-06-2024,70,Expense,Dining
25-06-2024,200,Expense,Clothing
26-06-2024,50,Expense,Transport
27-06-2024,500,Income,Salary
28-06-2024,30,Expense,Snacks
29-06-2024,150,Expense,Groceries
30-06-2024,70,Expense,Gas
01-07-2024,600,Income,Salary
02-07-2024,45,Expense,Dining
03-07-2024,50,Expense,Transport
04-07-2024,300,Income,Bonus
05-07-2024,100,Expense,Utilities
06-07-2024,40,Expense,Cinema
07-07-2024,70,Expense,Transport
08-07-2024,500,Income,Freelance
09-07-2024,55,Expense,Books
10-07-2024,30,Expense,Snacks
11-07-2024,90,Expense,Phone
12-07-2024,600,Income,Salary
13-07-2024,80,Expense,Gas
14-07-2024,200,Expense,Clothing
15-07-2024,50,Expense,Transport
16-07-2024,300,Income,Investment
17-07-2024,75,Expense,Gas
18-07-2024,30,Expense,Coffee
19-07-2024,700,Income,Bonus
20-07-2024,60,Expense,Books
21-07-2024,40,Expense,Dining
22-07-2024,120,Expense,Groceries
23-07-2024,100,Expense,Utilities
24-07-2024,500,Income,Salary
25-07-2024,25,Expense,Parking
26-07-2024,45,Expense,Snacks
27-07-2024,50,Expense,Transport
28-07-2024,100,Expense,Groceries
29-07-2024,60,Expense,Cinema
30-07-2024,600,Income,Salary
31-07-2024,70,Expense,Ga
28-07-2024,50.0,Income,Sold
